Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.8006	0.7537	0.82	58.98
2	0.7331	0.7242	0.80	60.74
3	0.7061	0.7097	0.79	60.73
4	0.6887	0.6984	0.78	61.06
5	0.6772	0.6897	0.78	62.36
6	0.6683	0.6902	0.77	61.80
7	0.6614	0.6849	0.77	62.10
8	0.6562	0.6839	0.77	62.90
9	0.6501	0.6841	0.77	61.99
10	0.6453	0.6821	0.77	63.52

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.7877	0.7500	0.82	59.06
2	0.7290	0.7284	0.80	61.11
3	0.7057	0.7134	0.79	61.28
4	0.6912	0.7069	0.78	61.74
5	0.6815	0.6977	0.78	62.13
6	0.6739	0.6974	0.79	62.42
7	0.6677	0.6907	0.78	63.37
8	0.6633	0.6876	0.78	62.25
9	0.6586	0.7016	0.79	62.93
10	0.6551	0.6930	0.78	61.57
11	0.6516	0.6967	0.79	63.09
12	0.6491	0.6839	0.78	62.68
13	0.6456	0.6856	0.78	62.90
14	0.6437	0.7098	0.80	63.27
15	0.6410	0.6920	0.78	62.95
16	0.6383	0.6932	0.78	62.79
17	0.6360	0.6970	0.79	63.21
18	0.6336	0.6904	0.78	62.24
19	0.6305	0.6968	0.78	62.10
20	0.6292	0.7019	0.80	62.74

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.7986	0.7482	0.82	59.72
2	0.7292	0.7272	0.80	60.21
3	0.7018	0.7054	0.78	61.12
4	0.6855	0.7018	0.78	60.94
5	0.6749	0.6952	0.78	61.37
6	0.6665	0.6967	0.77	63.16
7	0.6601	0.6893	0.77	62.34
8	0.6546	0.6894	0.78	62.89
9	0.6504	0.6902	0.77	63.22
10	0.6461	0.6847	0.77	61.90
11	0.6429	0.6857	0.77	63.38
12	0.6396	0.6847	0.77	63.28
