Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0284	0.9267	1.02	50.43
2	0.9009	0.8947	1.00	52.12
3	0.8696	0.8793	0.97	52.43
4	0.8456	0.8736	0.97	52.21
5	0.8265	0.8699	0.96	53.24
6	0.8123	0.8699	0.95	52.54
7	0.7996	0.8798	0.96	51.43
8	0.7878	0.8637	0.95	52.76
9	0.7769	0.8737	0.95	52.21
10	0.7664	0.8700	0.96	52.47

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.3101	1.0875	1.33	48.15
2	1.0902	1.0891	1.34	38.41
3	1.0917	1.0858	1.34	38.43
4	1.0921	1.1135	1.33	48.07
5	1.0926	1.0862	1.34	38.44
6	1.0918	1.1109	1.34	38.42
7	1.0924	1.0854	1.33	48.14
8	1.0926	1.0889	1.34	48.11
9	1.0918	1.0878	1.34	48.13
10	1.0937	1.0903	1.34	38.43

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1458	1.1048	1.34	38.42
2	1.0937	1.0887	1.33	48.12
3	1.0958	1.0873	1.34	38.40
4	1.0957	1.0873	1.34	38.41
5	1.0938	1.0888	1.34	48.10
6	1.0961	1.0871	1.34	48.09
7	1.0949	1.1017	1.34	48.11
8	1.0956	1.1195	1.33	48.10
9	1.0956	1.1200	1.33	48.12
10	1.0959	1.0872	1.34	48.10
11	1.0953	1.1103	1.34	38.42
12	1.0950	1.0874	1.34	48.10
13	1.0942	1.1001	1.33	48.12
14	1.0951	1.0897	1.34	38.41
15	1.0955	1.0871	1.34	38.43
16	1.0955	1.0895	1.33	48.11
17	1.0960	1.0922	1.34	48.10
18	1.0953	1.0950	1.34	38.42
19	1.0946	1.0982	1.34	48.10
20	1.0946	1.0918	1.34	38.43

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1429	1.0884	1.34	38.41
2	1.0904	1.0884	1.33	48.12
3	1.0916	1.1016	1.34	48.11
4	1.0923	1.0973	1.34	48.09
5	1.0931	1.0962	1.34	48.11
6	1.0931	1.0868	1.34	38.43
7	1.0918	1.0933	1.34	48.06
8	1.0938	1.0916	1.34	48.15
9	1.0919	1.0924	1.34	38.44
10	1.0919	1.0925	1.33	48.08
11	1.0932	1.0864	1.34	38.42
12	1.0933	1.1016	1.34	38.44
13	1.0917	1.1015	1.34	48.10
14	1.0938	1.0889	1.34	48.09
15	1.0932	1.0853	1.33	48.09
16	1.0922	1.0928	1.34	38.45
17	1.0924	1.0867	1.34	48.15
18	1.0917	1.0884	1.33	48.13
19	1.0921	1.0968	1.34	38.41
20	1.0927	1.0859	1.33	48.15
21	1.0936	1.0885	1.34	48.04
22	1.0926	1.1040	1.34	38.39
23	1.0932	1.0998	1.34	48.11
24	1.0918	1.0849	1.34	38.46
25	1.0921	1.0890	1.34	38.40
26	1.0927	1.0890	1.34	38.43
27	1.0933	1.0881	1.34	38.37
28	1.0913	1.0870	1.34	38.40
29	1.0921	1.0906	1.34	48.08
