Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.9878	0.9211	1.03	50.65
2	0.8924	0.9059	1.01	51.22
3	0.8637	0.9192	1.01	49.65
4	0.8418	0.8911	0.99	52.41
5	0.8240	0.8900	0.99	52.63
6	0.8079	0.8826	0.97	52.31
7	0.7931	0.8936	0.99	51.69
8	0.7829	0.8802	0.97	52.77
9	0.7712	0.8900	0.98	52.75
10	0.7608	0.8910	0.98	52.79

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.3196	1.0889	1.34	38.38
2	1.0899	1.0896	1.34	48.05
3	1.0910	1.0870	1.34	38.48
4	1.0920	1.0883	1.34	38.42
5	1.0930	1.0893	1.34	48.16
6	1.0938	1.0888	1.34	48.12
7	1.0931	1.0888	1.34	38.41
8	1.0937	1.0871	1.34	38.44
9	1.0932	1.0877	1.33	48.09
10	1.0918	1.0884	1.34	48.07

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1695	1.0895	1.34	38.42
2	1.0937	1.0868	1.34	48.11
3	1.0951	1.1068	1.34	38.40
4	1.0951	1.0934	1.34	38.42
5	1.0945	1.0904	1.34	38.41
6	1.0952	1.0955	1.34	38.43
7	1.0959	1.0867	1.34	48.11
8	1.0944	1.0960	1.33	48.12
9	1.0948	1.0872	1.34	38.40
10	1.0967	1.0866	1.34	38.42
11	1.0952	1.0897	1.33	48.12
12	1.0944	1.0902	1.34	48.12
13	1.0951	1.0895	1.33	48.12
14	1.0951	1.0877	1.34	48.11
15	1.0949	1.0865	1.34	38.42
16	1.0936	1.0875	1.34	38.43
17	1.0954	1.1383	1.34	38.42
18	1.0947	1.0870	1.34	38.42
19	1.0968	1.0890	1.34	48.11
20	1.0959	1.0896	1.34	38.42

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1416	0.9628	1.02	50.83
2	0.9251	0.9406	1.00	52.50
3	0.9724	1.0673	1.25	41.37
4	1.0696	1.1079	1.34	38.42
5	1.0930	1.0892	1.34	38.44
6	1.0936	1.0912	1.34	38.38
7	1.0934	1.0950	1.34	38.45
8	1.0930	1.0849	1.33	48.14
9	1.0920	1.0929	1.34	48.14
10	1.0920	1.1005	1.34	38.37
11	1.0939	1.0874	1.34	38.46
12	1.0927	1.0908	1.34	48.10
13	1.0927	1.0879	1.34	38.45
14	1.0941	1.0876	1.34	38.41
15	1.0923	1.0884	1.34	48.10
16	1.0934	1.0917	1.34	38.41
17	1.0926	1.0884	1.34	38.44
18	1.0941	1.0870	1.34	48.12
19	1.0922	1.0905	1.34	38.38
20	1.0918	1.0864	1.34	38.44
21	1.0928	1.0858	1.34	38.44
22	1.0924	1.0852	1.34	38.46
23	1.0927	1.0850	1.34	38.49
24	1.0926	1.0943	1.34	38.37
25	1.0925	1.0877	1.34	38.42
26	1.0914	1.0944	1.34	48.07
27	1.0930	1.0913	1.34	38.44
28	1.0920	1.0875	1.34	38.45
29	1.0923	1.0887	1.34	38.43
30	1.0940	1.0920	1.34	38.43
31	1.0929	1.0894	1.34	38.42
32	1.0931	1.0946	1.34	48.08
33	1.0923	1.0876	1.34	48.08
34	1.0929	1.0870	1.34	38.47
35	1.0927	1.0864	1.33	48.13
36	1.0928	1.0851	1.33	48.15
37	1.0923	1.0914	1.34	38.41
38	1.0918	1.0868	1.33	48.15
39	1.0926	1.0898	1.34	38.44
40	1.0918	1.0861	1.33	48.10
41	1.0922	1.0913	1.34	38.36
42	1.0925	1.0883	1.34	48.10
43	1.0934	1.0929	1.34	38.39
44	1.0933	1.0873	1.34	48.09
45	1.0925	1.0899	1.33	48.14
46	1.0933	1.1139	1.34	38.38
47	1.0928	1.1001	1.34	48.07
48	1.0925	1.0878	1.34	38.43
49	1.0943	1.0910	1.34	48.09
50	1.0937	1.1065	1.34	48.10
51	1.0931	1.0933	1.34	38.39
52	1.0938	1.0857	1.33	48.13
53	1.0927	1.0871	1.34	48.12
54	1.0920	1.0913	1.34	38.38
55	1.0925	1.0990	1.33	48.15
56	1.0924	1.0861	1.33	48.12
57	1.0922	1.0863	1.33	48.12
58	1.0922	1.0885	1.34	38.41
59	1.0913	1.0963	1.33	48.07
60	1.0922	1.0850	1.34	38.45
61	1.0916	1.0861	1.33	48.14
62	1.0916	1.0872	1.34	38.42
63	1.0927	1.0897	1.34	38.43
64	1.0935	1.0866	1.33	48.12
65	1.0924	1.0890	1.34	48.08
66	1.0921	1.0920	1.34	38.43
67	1.0931	1.0873	1.34	38.43
68	1.0928	1.0862	1.33	48.16
69	1.0924	1.0880	1.34	38.40
70	1.0922	1.0862	1.33	48.13
71	1.0927	1.1092	1.34	38.43
72	1.0929	1.1021	1.34	38.43
73	1.0914	1.0937	1.34	38.44
74	1.0933	1.0909	1.34	48.08
75	1.0909	1.0884	1.34	48.07
76	1.0925	1.0864	1.33	48.16
77	1.0926	1.0899	1.34	38.43
78	1.0916	1.0916	1.34	38.40
79	1.0919	1.0872	1.34	48.11
80	1.0926	1.0880	1.34	38.41
81	1.0921	1.0907	1.34	38.41
82	1.0925	1.0980	1.33	48.10
83	1.0923	1.0903	1.33	48.13
84	1.0916	1.0871	1.34	48.06
85	1.0934	1.0895	1.34	38.40
86	1.0923	1.0862	1.33	48.06
87	1.0914	1.0918	1.34	38.45
88	1.0931	1.0875	1.34	38.40
89	1.0932	1.0886	1.34	38.42
90	1.0919	1.0875	1.34	48.08
91	1.0929	1.0866	1.34	38.37
92	1.0921	1.1190	1.34	38.43
93	1.0933	1.0887	1.33	48.09
94	1.0922	1.0906	1.34	38.40
95	1.0929	1.0902	1.34	38.42
96	1.0930	1.0852	1.33	48.11
97	1.0943	1.1126	1.34	48.11
98	1.0935	1.0916	1.34	38.41
99	1.0922	1.0874	1.34	48.13
100	1.0918	1.0920	1.34	38.43

Scenario 5: Learning Rate = 0.01, Loss Function = SmoothL1Loss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.4147	0.3546	0.94	54.37
2	0.3203	0.3457	0.93	55.39
3	0.2896	0.3416	0.89	54.55
4	0.2655	0.3426	0.91	55.77
5	0.2437	0.3456	0.91	54.49
6	0.2232	0.3571	0.93	54.20
7	0.2047	0.3595	0.94	53.84
8	0.1866	0.3704	0.98	53.46
9	0.1735	0.3829	1.01	52.68
10	0.1601	0.3882	1.04	52.40
11	0.1504	0.3813	1.02	52.32
12	0.1394	0.3836	1.02	52.02
13	0.1307	0.3899	1.01	52.11
14	0.1224	0.3856	1.02	51.86
15	0.1166	0.3908	1.03	52.11
16	0.1119	0.3886	1.03	52.14
17	0.1052	0.3956	1.04	51.09
18	0.1010	0.4055	1.09	51.19
19	0.0983	0.4020	1.05	50.83
20	0.0920	0.4082	1.06	50.48

Scenario 6: Learning Rate = 0.01, Loss Function = MSELoss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0304	0.8576	0.94	52.51
2	0.7509	0.8146	0.90	54.72
3	0.6756	0.8446	0.93	54.47
4	0.6116	0.8662	0.95	53.91
5	0.5487	0.8495	0.93	52.45
6	0.4939	0.8627	0.94	53.22
7	0.4400	0.8753	0.96	53.15
8	0.3992	0.8990	0.98	51.31
9	0.3611	0.9518	1.03	52.40
10	0.3341	0.9371	1.01	51.32
11	0.3073	0.9403	1.02	51.65
12	0.2867	0.9896	1.07	51.40
13	0.2687	0.9702	1.05	50.63
14	0.2531	0.9857	1.07	50.37
15	0.2388	0.9802	1.07	50.33
16	0.2249	0.9827	1.07	49.53
17	0.2122	1.0016	1.08	49.22
18	0.2040	1.0124	1.09	49.69
19	0.1923	1.0221	1.11	49.90
20	0.1858	1.0185	1.11	49.62
21	0.1797	1.0488	1.13	49.48
22	0.1686	1.0333	1.11	49.09
23	0.1606	1.0488	1.14	48.54
24	0.1592	1.0498	1.13	48.96
25	0.1535	1.0521	1.14	48.12
26	0.1458	1.0632	1.16	48.52
27	0.1433	1.0498	1.13	48.68
28	0.1368	1.0458	1.14	48.88
29	0.1342	1.0813	1.17	48.94
30	0.1274	1.0760	1.17	48.72
31	0.1265	1.0762	1.16	48.74
32	0.1231	1.0692	1.16	47.69
33	0.1194	1.0673	1.15	48.56
34	0.1155	1.1192	1.20	47.78
35	0.1132	1.0791	1.16	47.92
36	0.1092	1.0937	1.20	48.13
37	0.1100	1.0993	1.19	48.37
38	0.1073	1.0967	1.19	48.22
39	0.1045	1.1511	1.23	45.14
40	0.1006	1.1044	1.19	48.36
41	0.1004	1.0953	1.19	47.27
42	0.0995	1.0965	1.19	48.00
43	0.0972	1.0907	1.18	48.27
44	0.0929	1.0973	1.19	48.07
45	0.0904	1.1128	1.20	46.84
46	0.0917	1.1297	1.22	47.93
47	0.0908	1.1177	1.20	47.88
48	0.0873	1.1196	1.20	47.97
49	0.0867	1.1022	1.20	47.67
50	0.0825	1.1075	1.20	47.30
51	0.0833	1.1131	1.20	47.65
52	0.0834	1.1221	1.21	47.78
53	0.0812	1.1238	1.21	47.72
54	0.0766	1.1037	1.19	48.05
55	0.0797	1.1145	1.20	47.73
56	0.0790	1.1229	1.21	47.67
57	0.0777	1.1088	1.18	48.28
58	0.0744	1.1318	1.22	48.01
59	0.0765	1.1215	1.21	48.03
60	0.0746	1.1085	1.20	47.84
61	0.0716	1.1346	1.22	47.78
62	0.0698	1.1220	1.20	47.80
63	0.0729	1.1477	1.24	47.40
64	0.0707	1.1230	1.21	47.41
65	0.0659	1.1299	1.21	47.83
66	0.0680	1.1306	1.23	47.68
67	0.0695	1.1118	1.20	48.12
68	0.0675	1.1163	1.21	48.02
69	0.0672	1.1254	1.22	47.82
70	0.0752	1.1400	1.22	47.68
71	0.0692	1.1318	1.22	47.14
72	0.0655	1.1403	1.23	47.18
73	0.0666	1.1440	1.23	47.42
74	0.0659	1.1302	1.23	47.35
75	0.0648	1.1471	1.24	47.13
76	0.0637	1.1414	1.24	46.91
77	0.0636	1.1463	1.23	47.16
78	0.0625	1.1561	1.24	46.99
79	0.0603	1.1438	1.23	47.23
80	0.0598	1.1620	1.24	47.09
81	0.0589	1.1549	1.24	46.80
82	0.0593	1.1343	1.22	47.45
83	0.0575	1.1766	1.26	46.96
84	0.0556	1.1463	1.23	47.02
85	0.0613	1.1439	1.22	47.28
86	0.0552	1.1444	1.23	47.18
87	0.0552	1.1465	1.24	47.26
88	0.0585	1.1649	1.26	47.16
89	0.0529	1.1595	1.25	47.02
90	0.0532	1.1529	1.23	47.86
91	0.0537	1.1536	1.25	47.13
92	0.0522	1.1506	1.23	47.60
93	0.0532	1.1510	1.24	47.17
94	0.0522	1.1751	1.26	46.71
95	0.0518	1.1508	1.24	47.18
96	0.0525	1.1544	1.24	47.36
97	0.0519	1.1359	1.22	47.49
98	0.0518	1.1493	1.24	47.45
99	0.0494	1.1510	1.23	47.21
100	0.0496	1.1564	1.25	47.12
101	0.0485	1.1560	1.24	47.21
102	0.0479	1.1728	1.26	46.06
103	0.0500	1.1403	1.23	47.70
104	0.0459	1.1579	1.25	46.94
105	0.0494	1.1651	1.25	47.21
106	0.0499	1.1401	1.23	47.60
107	0.0484	1.1448	1.23	47.48
108	0.0477	1.1554	1.23	47.25
109	0.0470	1.1720	1.26	46.39
110	0.0453	1.1450	1.23	47.61
111	0.0442	1.1607	1.24	47.24
112	0.0451	1.1430	1.22	47.56
113	0.0452	1.1506	1.23	47.22
114	0.0452	1.1472	1.23	47.25
115	0.0441	1.1490	1.23	47.71
116	0.0458	1.1468	1.23	47.22
117	0.0428	1.1483	1.24	47.69
118	0.0434	1.1512	1.24	47.39
119	0.0443	1.1471	1.24	47.07
120	0.0444	1.1421	1.24	47.34
121	0.0428	1.1517	1.24	47.05
122	0.0431	1.1476	1.23	47.35
123	0.0440	1.1483	1.24	47.15
124	0.0400	1.1529	1.24	47.87
125	0.0439	1.1469	1.23	47.46
126	0.0452	1.1476	1.24	47.33
127	0.0407	1.1753	1.26	46.66
128	0.0398	1.1514	1.24	47.30
129	0.0395	1.1424	1.23	47.46
130	0.0406	1.1394	1.22	47.56
131	0.0426	1.1458	1.24	47.20
132	0.0403	1.1377	1.23	47.24
133	0.0404	1.1542	1.24	47.32
134	0.0392	1.1769	1.26	46.94
135	0.0411	1.1502	1.24	47.18
136	0.0402	1.1847	1.27	46.64
137	0.0419	1.1551	1.24	47.47
138	0.0392	1.1464	1.24	47.29
139	0.0384	1.1776	1.27	47.18
140	0.0379	1.1496	1.24	46.89
141	0.0392	1.1570	1.24	47.52
142	0.0403	1.1424	1.24	47.51
143	0.0389	1.1472	1.24	47.26
144	0.0379	1.1482	1.24	47.26
145	0.0393	1.1400	1.22	47.40
146	0.0373	1.1550	1.24	46.81
147	0.0376	1.1422	1.23	47.53
148	0.0391	1.1685	1.26	46.99
149	0.0384	1.1454	1.23	47.59
150	0.0376	1.1375	1.22	47.83
151	0.0349	1.1464	1.23	47.43
152	0.0355	1.1404	1.23	47.29
153	0.0394	1.1363	1.23	47.48
154	0.0367	1.1354	1.22	47.22
155	0.0359	1.1765	1.27	46.97
156	0.0370	1.1472	1.24	47.52
157	0.0359	1.1786	1.25	47.33
158	0.0370	1.1457	1.23	47.84
159	0.0368	1.1643	1.26	47.14
160	0.0378	1.1568	1.24	47.15
161	0.0342	1.1456	1.24	47.09
162	0.0368	1.1516	1.24	47.53
163	0.0364	1.1591	1.24	46.97
164	0.0370	1.1351	1.23	47.38
165	0.0342	1.1625	1.25	46.95
166	0.0346	1.1404	1.23	47.51
167	0.0349	1.1490	1.24	47.35
168	0.0354	1.1487	1.24	47.59
169	0.0356	1.1458	1.24	47.69
170	0.0354	1.1640	1.25	47.28
171	0.0340	1.1404	1.23	47.64
172	0.0335	1.1342	1.22	47.47
173	0.0337	1.1534	1.24	46.88
174	0.0352	1.1721	1.27	46.79
175	0.0334	1.1343	1.22	47.47
176	0.0344	1.1440	1.22	48.18
177	0.0336	1.1376	1.23	47.78
178	0.0335	1.1476	1.24	47.42
179	0.0341	1.1460	1.24	46.54
180	0.0341	1.1324	1.23	47.59
181	0.0318	1.1444	1.24	47.44
182	0.0340	1.1414	1.23	47.22
183	0.0340	1.1655	1.25	47.37
184	0.0333	1.1751	1.25	47.28
185	0.0330	1.1260	1.21	47.78
186	0.0320	1.1338	1.23	47.87
187	0.0328	1.1575	1.25	47.59
188	0.0347	1.1333	1.22	47.57
189	0.0354	1.1414	1.23	47.47
190	0.0334	1.1313	1.22	47.63
191	0.0303	1.1353	1.23	47.63
192	0.0304	1.1459	1.23	47.59
193	0.0326	1.1408	1.22	47.91
194	0.0318	1.1325	1.23	47.18
195	0.0317	1.1484	1.24	47.45
196	0.0336	1.1389	1.23	47.62
197	0.0362	1.1427	1.23	47.57
