Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.9555	0.9490	1.01	53.36
2	0.9448	0.9474	1.02	53.42
3	0.9427	0.9564	1.04	52.14
4	0.9387	0.9334	0.99	54.04
5	0.9362	0.9362	1.01	53.33
6	0.9332	0.8904	0.93	55.75
7	0.9316	0.9180	1.00	53.56
8	0.9276	0.9192	0.99	53.78
9	0.9238	0.9317	1.00	53.92
10	0.9231	0.9135	0.97	54.86

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	2.3707	2.2367	2.32	38.35
2	3.1200	3.4614	3.53	32.95
3	3.5978	3.0316	3.11	34.47
4	4.0696	3.3781	3.46	33.93
5	4.4065	2.9800	3.07	35.22
6	4.8699	4.4991	4.58	29.34
7	5.0518	5.3202	5.41	27.17
8	5.3110	2.9311	3.02	35.57
9	5.2668	4.0157	4.10	30.77
10	5.5180	4.7877	4.87	29.71

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	4.8910	4.2574	4.34	30.37
2	7.6516	5.3775	5.46	27.17
3	9.8527	17.5837	17.67	15.87
4	11.2733	12.8274	12.92	17.99
5	12.5693	10.2875	10.39	20.31
6	13.4889	10.2644	10.36	20.22
7	14.6722	16.8394	16.93	16.59
8	15.0289	6.4316	6.53	25.30
9	15.9605	20.4926	20.57	14.86
10	16.8683	12.4696	12.54	18.76
11	17.2762	16.6812	16.78	16.81
12	18.7468	24.2939	24.36	13.84
13	18.0067	9.7378	9.83	20.74
14	18.9823	16.0852	16.17	16.59
15	19.6234	18.7833	18.86	16.14
16	20.1088	8.6399	8.73	22.59
17	20.0138	20.2902	20.37	15.60
18	20.3557	13.1888	13.27	18.52
19	21.3755	59.1243	59.22	9.37
20	21.4206	14.0535	14.13	18.34

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	2.4029	4.2138	4.30	29.02
2	3.1053	3.4356	3.51	32.23
3	3.6462	2.9737	3.05	34.27
4	4.1436	6.1837	6.27	24.46
5	4.5367	2.9971	3.08	34.48
6	4.7728	4.5263	4.61	29.46
7	5.0040	4.1391	4.22	31.16
8	5.2759	4.5006	4.59	29.54
9	5.6742	4.3898	4.46	30.33
10	5.4812	2.7830	2.87	34.88
11	6.0060	8.4429	8.54	23.36
12	6.1808	4.1009	4.17	31.93
13	6.1299	3.5109	3.61	32.93
14	6.2982	3.3098	3.39	33.98
15	6.3718	8.4037	8.49	22.88
16	6.7206	7.2262	7.29	25.02
17	6.5450	6.3057	6.40	26.21
18	6.7395	8.5067	8.59	22.27
19	7.0703	3.8887	3.98	32.55
20	6.9870	4.4350	4.50	29.64
21	6.9885	3.9829	4.08	31.75
22	7.1676	8.4208	8.50	22.64
23	7.2652	4.2425	4.34	30.37
24	7.3107	6.2048	6.28	26.95
25	7.4207	8.4922	8.57	23.19
26	7.3965	3.0860	3.17	35.04
27	7.6406	4.9014	5.00	28.66
28	7.5793	6.4722	6.55	26.24
