Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1684	1.1058	1.23	45.81
2	1.1075	1.1503	1.27	43.37
3	1.1010	1.0826	1.20	46.61
4	1.0952	1.0884	1.21	47.38
5	1.0840	1.0952	1.20	47.49
6	1.0767	1.0627	1.18	46.51
7	1.0687	1.1075	1.22	45.44
8	1.0620	1.0659	1.18	47.45
9	1.0530	1.0844	1.17	47.93
10	1.0476	1.0339	1.13	48.77

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.7309	1.9226	2.00	36.84
2	1.8075	2.3300	2.41	34.35
3	1.9010	2.2718	2.37	34.02
4	1.9100	2.3076	2.39	34.60
5	1.9373	1.8540	1.92	37.99
6	1.9938	1.5895	1.68	41.86
7	2.0261	1.9044	1.98	36.70
8	1.9519	2.0204	2.12	37.44
9	2.0325	2.4799	2.56	34.79
10	2.1324	1.9137	1.99	37.37

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	3.0546	2.8465	2.91	30.79
2	3.5143	2.9229	3.01	30.44
3	3.7377	3.3495	3.45	28.88
4	3.9733	3.0848	3.17	29.50
5	3.9070	6.0387	6.16	21.48
6	4.1317	4.2716	4.35	27.65
7	4.1077	2.7143	2.78	32.91
8	4.3613	4.1015	4.17	26.67
9	4.4279	5.9142	5.99	22.56
10	4.3396	3.9383	4.01	27.85
11	4.5635	2.2949	2.37	35.40
12	4.7746	7.1926	7.28	20.12
13	4.4850	4.2624	4.36	25.54
14	4.6642	5.3096	5.38	22.91
15	5.0184	3.3599	3.43	29.52
16	4.6898	8.1361	8.20	20.77
17	5.1678	5.4574	5.55	23.45
18	4.8856	5.2115	5.31	24.45
19	4.6374	5.5045	5.59	23.74
20	5.1683	5.5324	5.62	23.18

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
