Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0734	0.9942	1.13	44.76
2	0.9678	0.9678	1.09	46.63
3	0.9427	0.9869	1.13	44.84
4	0.9286	0.9729	1.11	45.42
5	0.9209	1.0308	1.19	42.35
6	0.9147	0.9683	1.11	45.21
7	0.9089	1.0040	1.17	42.77
8	0.9022	1.0178	1.19	42.00
9	0.8985	1.0280	1.21	41.68
10	0.8912	0.9775	1.14	44.04

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.3985	1.0867	1.34	38.44
2	1.0900	1.0882	1.34	48.11
3	1.0919	1.1003	1.34	38.49
4	1.0928	1.1063	1.34	38.44
5	1.0916	1.1031	1.34	38.41
6	1.0925	1.0877	1.33	48.11
7	1.0925	1.0898	1.34	38.47
8	1.0916	1.1298	1.34	38.42
9	1.0920	1.0891	1.34	38.37
10	1.0943	1.0882	1.34	38.39

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1827	1.0925	1.34	48.10
2	1.0958	1.0876	1.34	38.40
3	1.0943	1.0977	1.34	48.09
4	1.0957	1.0872	1.34	48.12
5	1.0950	1.1113	1.34	38.41
6	1.0960	1.1001	1.34	38.41
7	3.1025	1.0879	1.34	38.41
8	1.0993	1.1003	1.34	38.42
9	1.0949	1.0905	1.34	38.42
10	1.0956	1.1013	1.34	38.42
11	1.0949	1.0997	1.33	48.11
12	1.0957	1.0922	1.33	48.12
13	1.0942	1.1312	1.34	38.42
14	1.0960	1.1037	1.34	38.41
15	1.0955	1.0891	1.34	38.43
16	1.0951	1.0999	1.34	48.11
17	1.0965	1.1118	1.34	38.42
18	1.0940	1.1095	1.34	38.41
19	1.0950	1.0900	1.34	38.41
20	1.0955	1.0868	1.34	48.10

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1836	1.0871	1.34	38.46
2	1.0925	1.0961	1.34	38.44
3	1.0906	1.0927	1.34	48.09
4	1.0923	1.0853	1.33	48.12
5	1.0919	1.0883	1.34	48.05
6	1.0930	1.0854	1.33	48.13
7	1.0922	1.1074	1.34	38.42
8	1.0929	1.0941	1.34	48.12
9	1.0928	1.1137	1.34	38.39
10	2.6724	1.0882	1.34	48.08
11	1.0909	1.0894	1.34	38.41
12	1.0913	1.0876	1.34	48.10
13	1.0922	1.0870	1.33	48.13
14	1.0930	1.0907	1.33	48.13
15	1.0934	1.0871	1.34	38.48
16	1.0927	1.0982	1.34	48.11
17	1.0918	1.0872	1.33	48.14
18	1.0917	1.0894	1.33	48.11
19	1.0921	1.0879	1.34	38.38
20	1.0919	1.0889	1.34	48.11
21	1.0933	1.0866	1.33	48.10
22	1.0922	1.0903	1.34	38.43
23	1.0933	1.0922	1.34	48.06
24	1.0926	1.0943	1.33	48.15
25	1.0923	1.1006	1.34	48.02
26	1.0929	1.0862	1.34	38.44
27	1.0929	1.0912	1.33	48.14
28	1.0918	1.0980	1.34	48.07
29	1.0925	1.0877	1.34	38.43
30	1.0932	1.0887	1.34	38.35
31	1.0928	1.0904	1.34	48.09
32	1.0921	1.0860	1.34	38.40
33	1.0927	1.0867	1.33	48.06
34	1.0922	1.0879	1.34	48.06
35	1.0922	1.0850	1.34	38.44
36	1.0927	1.0872	1.34	38.43
37	1.0925	1.0886	1.34	38.37
38	1.0920	1.0909	1.34	48.09
39	1.0923	1.1097	1.33	48.12
40	1.0930	1.0875	1.34	38.45
41	1.0920	1.0889	1.34	38.39
42	1.0928	1.1138	1.34	38.42
43	1.0927	1.1116	1.34	48.08
44	1.0935	1.0897	1.33	48.12
45	1.0937	1.0888	1.34	48.11
46	1.0917	1.0871	1.33	48.17
47	1.0937	1.0949	1.34	48.13
48	1.0928	1.0854	1.33	48.17
49	1.0916	1.0860	1.34	38.47
50	1.0924	1.0893	1.34	38.44
51	1.0922	1.0966	1.34	38.40
52	1.0918	1.1085	1.34	48.13
53	1.0929	1.0891	1.34	38.36
54	1.0927	1.0890	1.34	48.09
55	1.0927	1.0869	1.34	38.40
56	1.0932	1.0952	1.34	48.13
57	1.0928	1.0867	1.34	48.12
58	1.0929	1.0872	1.34	48.12
59	1.0939	1.0886	1.34	38.42
60	1.0925	1.0869	1.33	48.10
61	1.0921	1.0923	1.34	38.47
62	1.0925	1.1200	1.34	48.07
63	1.0934	1.0934	1.34	48.10
64	1.0927	1.0939	1.33	48.10
65	1.0923	1.0960	1.34	38.46
66	1.0928	1.0930	1.34	38.34
67	1.0925	1.0875	1.34	38.44
68	1.0927	1.0872	1.33	48.08
69	1.0919	1.0989	1.34	38.42
70	1.0926	1.1289	1.33	48.17
71	1.0935	1.1080	1.34	48.09
72	1.0919	1.0878	1.34	38.45
73	1.0919	1.0972	1.33	48.12
74	1.0928	1.0862	1.34	38.38
75	1.0929	1.0846	1.33	48.10
76	1.0935	1.0877	1.34	48.08
77	1.0923	1.0920	1.33	48.14
78	1.0926	1.0890	1.34	48.08
79	1.0925	1.0879	1.34	38.41
80	1.0924	1.0977	1.33	48.09
81	1.0929	1.0877	1.34	38.41
82	1.0918	1.0893	1.34	38.41
83	1.0932	1.0874	1.34	38.48
84	1.0927	1.0908	1.34	38.44
85	1.0927	1.0860	1.33	48.15
86	1.0925	1.0978	1.33	48.10
87	1.0928	1.0865	1.33	48.10
88	1.0921	1.0939	1.34	48.12
89	1.0915	1.0938	1.34	38.36
90	1.0925	1.1021	1.34	48.06
91	1.0918	1.0916	1.33	48.12
92	1.0921	1.0911	1.34	38.41
93	1.0920	1.0870	1.34	38.42
94	1.0926	1.0890	1.34	38.43
95	1.0942	1.0922	1.34	38.36
96	1.0925	1.1006	1.33	48.11
97	1.0931	1.0909	1.34	38.42
98	1.0919	1.0950	1.34	48.09
99	1.0929	1.0883	1.34	38.37
100	1.0916	1.0887	1.33	48.11

Scenario 5: Learning Rate = 0.01, Loss Function = SmoothL1Loss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.4507	0.3697	0.95	51.63
2	0.3545	0.3360	0.88	55.25
3	0.3269	0.3293	0.86	56.15
4	0.3087	0.3311	0.89	56.78
5	0.2990	0.3305	0.89	56.64
6	0.2953	0.3290	0.88	56.65
7	0.2915	0.3298	0.90	56.39
8	0.2900	0.3491	0.97	55.38
9	0.2862	0.3269	0.85	56.74
10	0.2819	0.3271	0.85	56.30
11	0.2807	0.3311	0.87	55.85
12	0.2787	0.3336	0.92	55.59
13	0.2744	0.3291	0.91	56.05
14	0.2707	0.3292	0.90	56.15
15	0.2690	0.3267	0.88	56.20
16	0.2662	0.3259	0.90	56.31
17	0.2635	0.3272	0.88	56.17
18	0.2605	0.3309	0.91	56.37
19	0.2583	0.3254	0.88	56.08
20	0.2535	0.3304	0.89	56.85

Scenario 6: Learning Rate = 0.01, Loss Function = MSELoss
Number of Batches: 128
Scheduler: StepLR
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.1502	0.8563	0.96	52.18
2	0.8472	0.8094	0.90	53.38
3	0.7793	0.7813	0.87	54.36
4	0.7328	0.7815	0.86	56.12
5	0.7017	0.7864	0.89	56.06
6	0.6792	0.7689	0.86	56.40
7	0.6707	0.7818	0.89	55.73
8	0.6567	0.7841	0.88	55.95
9	0.6460	0.7722	0.85	55.92
10	0.6347	0.7940	0.89	56.12
11	0.6244	0.7761	0.86	56.09
12	0.6154	0.7821	0.88	55.72
13	0.6047	0.7730	0.86	55.34
14	0.5947	0.7754	0.87	55.65
15	0.5847	0.7982	0.89	55.94
16	0.5788	0.7746	0.88	55.70
17	0.5663	0.7767	0.88	55.34
18	0.5624	0.7825	0.89	55.31
19	0.5527	0.8062	0.90	55.52
20	0.5479	0.8070	0.89	54.76
21	0.5389	0.8019	0.90	55.23
22	0.5342	0.8082	0.92	55.60
23	0.5285	0.8000	0.91	54.69
24	0.5204	0.8069	0.92	54.67
25	0.5190	0.8072	0.92	54.94
26	0.5102	0.8144	0.93	55.09
27	0.5076	0.8107	0.92	55.87
28	0.5052	0.7941	0.91	54.84
29	0.5044	0.8165	0.91	55.36
30	0.4941	0.8181	0.93	55.29
31	0.4915	0.8115	0.92	55.15
32	0.4885	0.8150	0.92	54.88
33	0.4856	0.8141	0.91	55.23
34	0.4835	0.7965	0.90	54.63
35	0.4804	0.8199	0.94	54.95
36	0.4740	0.8476	0.94	55.24
37	0.4753	0.8687	0.97	54.94
38	0.4705	0.8126	0.92	54.95
39	0.4682	0.8438	0.93	55.23
40	0.4628	0.8115	0.92	54.65
41	0.4619	0.8482	0.94	55.40
42	0.4622	0.8120	0.92	54.67
43	0.4583	0.8355	0.94	54.69
44	0.4592	0.8226	0.92	55.02
45	0.4558	0.8231	0.92	54.35
46	0.4519	0.8250	0.92	55.06
47	0.4486	0.8203	0.91	54.50
48	0.4483	0.8378	0.93	55.31
49	0.4486	0.8677	0.97	54.90
50	0.4456	0.8392	0.94	54.90
51	0.4440	0.8390	0.93	54.75
52	0.4449	0.8225	0.92	55.05
53	0.4407	0.8459	0.94	54.01
54	0.4401	0.8538	0.95	54.41
55	0.4381	0.8350	0.96	53.84
56	0.4337	0.8389	0.94	54.93
57	0.4332	0.8453	0.94	55.00
58	0.4336	0.8374	0.95	54.79
59	0.4288	0.8234	0.92	54.36
