Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	0.8146	0.7782	0.84	58.45
2	0.7655	0.7618	0.82	60.48
3	0.7452	0.7453	0.81	60.41
4	0.7314	0.7581	0.82	61.48
5	0.7207	0.7277	0.81	60.70
6	0.7120	0.7253	0.81	60.26
7	0.7040	0.7218	0.80	60.15
8	0.6973	0.7180	0.80	61.21
9	0.6912	0.7080	0.79	61.11
10	0.6853	0.7169	0.79	62.07

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	3303.4148	95.0482	95.09	55.73
2	1671.7026	16808.2850	16807.37	56.51
3	451.1641	6.1685	6.20	56.71
4	78.0011	1.6907	1.71	56.67
5	15.0127	1.2256	1.25	56.69
6	0.8429	1.2513	1.25	56.70
7	0.8451	1.2383	1.24	56.70
8	0.8451	1.2319	1.25	56.68
9	0.8452	1.2377	1.25	56.68
10	0.8447	1.2293	1.25	56.67

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	6003.2029	213.0876	213.17	56.12
2	2542.1118	3366.4866	3366.04	56.62
3	6052.9521	171.0810	171.18	56.66
4	46.7087	1.9973	2.01	56.69
5	0.8477	1.9884	2.01	56.68
6	0.8483	1.9853	2.01	56.67
7	0.8481	1.9848	2.01	56.69
8	0.8481	1.9980	2.01	56.68
9	0.8476	1.9892	2.01	56.67
10	0.8476	1.9887	2.01	56.67
11	0.8476	1.9853	2.01	56.68
12	0.8477	2.0103	2.01	56.68
13	0.8484	1.9855	2.01	56.68
14	0.8473	2.0228	2.02	56.67
15	0.8479	1.9840	2.01	56.69
16	0.8475	1.9847	2.01	56.69
17	0.8478	1.9852	2.01	56.67
18	0.8473	1.9854	2.01	56.68
19	0.8471	2.0031	2.02	56.68
20	0.8474	1.9885	2.01	56.68

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	4960.9053	1829.0861	1828.98	35.22
2	197.5139	24.6357	24.63	56.31
3	10033.6559	124.0860	124.08	56.61
4	604.4798	1.0199	1.04	56.69
5	42.0285	1.0460	1.07	56.69
6	117.5837	22.1114	22.15	56.70
7	10.1238	1.0430	1.07	56.70
8	2.0957	1.0459	1.07	56.69
9	0.8449	1.0435	1.07	56.68
10	0.8455	1.0428	1.07	56.69
11	0.8449	1.0527	1.07	56.69
12	0.8453	1.0438	1.07	56.68
13	0.8450	1.0440	1.07	56.69
14	0.8453	1.0506	1.07	56.67
15	0.8455	1.0699	1.07	56.67
16	0.8453	1.0563	1.07	56.68
17	0.8451	1.0436	1.07	56.68
18	0.8456	1.0493	1.07	56.67
19	0.8457	1.0493	1.07	56.70
20	0.8449	1.0548	1.07	56.68
21	0.8450	1.0439	1.07	56.69
22	0.8449	1.0502	1.07	56.69
23	0.8450	1.0835	1.07	56.69
24	0.8455	1.0437	1.07	56.68
25	0.8453	1.0452	1.07	56.70
26	0.8454	1.0439	1.07	56.69
27	0.8457	1.0442	1.07	56.71
28	0.8455	1.0458	1.07	56.68
29	0.8453	1.0513	1.07	56.68
30	0.8454	1.0433	1.07	56.69
31	0.8450	1.0599	1.07	56.68
32	0.8457	1.0437	1.07	56.67
33	0.8457	1.0459	1.07	56.70
34	0.8451	1.0427	1.07	56.71
