Scenario 1: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 128
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	1.0301	0.9581	1.07	48.72
2	0.9381	0.9283	1.02	50.60
3	0.9166	0.9214	1.03	49.76
4	0.9020	0.9236	1.02	51.40
5	0.8907	0.9101	1.01	51.05
6	0.8827	0.9028	1.00	51.70
7	0.8745	0.9233	1.01	49.39
8	0.8691	0.9058	1.01	50.49
9	0.8651	0.9331	1.02	52.44
10	0.8586	0.8931	0.98	51.98

Scenario 2: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	62.6853	1.4792	1.73	38.34
2	1.9521	1.0948	1.34	48.05
3	18.8045	17.0403	17.27	47.74
4	64.5022	1.1534	1.40	48.08
5	1.3810	1.0870	1.34	38.38
6	1.1561	1.0893	1.33	48.15
7	1.0912	1.0907	1.34	38.42
8	1.0918	1.0923	1.34	48.11
9	1.0932	1.0957	1.34	38.41
10	1.0924	1.0915	1.34	48.08

Scenario 3: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 32
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	710.6604	8.7922	9.02	38.41
2	118.4609	4.2869	4.53	48.07
3	2.0299	4.3223	4.57	38.43
4	1.1077	3.5045	3.75	48.10
5	1.1003	3.5305	3.75	38.41
6	1.0944	3.5030	3.75	38.42
7	1.0957	3.5035	3.75	48.10
8	1.0950	3.5042	3.76	48.08
9	1.0959	3.5036	3.75	38.42
10	1.0954	3.5068	3.76	48.10
11	1.0948	3.5103	3.75	38.40
12	1.0948	3.5028	3.75	48.11
13	1.0968	3.5194	3.75	38.40
14	1.0956	3.5070	3.75	38.42
15	1.0958	3.5179	3.76	48.10
16	1.0943	3.5099	3.75	38.42
17	1.0959	3.5217	3.75	38.40
18	1.0957	3.5045	3.76	48.10
19	1.0954	3.5051	3.75	38.41
20	1.0949	3.5039	3.75	38.43

Scenario 4: Learning Rate = 0.1, Loss Function = MSELoss
Number of Batches: 64
Epoch	Loss	Validation loss	RMSE	Validation Accuracy
1	30.1053	1.1121	1.36	38.44
2	1.4119	1.0854	1.34	38.47
3	272.5454	34.6865	34.26	47.90
4	9.4291	1.0935	1.34	38.41
5	1.7097	1.1038	1.35	38.40
6	1.1151	1.0864	1.34	38.49
7	1.0901	1.0926	1.33	48.14
8	1.0910	1.0883	1.34	38.38
9	1.0929	1.0959	1.33	48.12
10	1.0930	1.0963	1.34	38.42
11	1.0930	1.0899	1.34	48.12
12	1.0933	1.1163	1.34	48.09
13	1.0926	1.0904	1.34	38.38
14	1.0937	1.0871	1.34	48.14
